epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.844,1.24045,4.34117,1.10667,0.76981,0.14824,0.16103,0.10592,1.12296,3.11528,0.91818,0.0670543,0.000332785,0.000332785
2,61.9351,1.20245,3.26053,1.08889,0.25899,0.52748,0.36538,0.23433,1.14007,2.10154,0.958,0.0340477,0.000659524,0.000659524
3,92.5113,1.17535,2.52714,1.08934,0.34081,0.73108,0.54228,0.40539,0.90215,1.63604,0.91346,0.00103449,0.000979663,0.000979663
4,123.022,1.12909,2.08737,1.07209,0.72467,0.70958,0.7523,0.57353,0.89577,1.34443,0.9025,0.0009703,0.0009703,0.0009703
5,154.261,1.10145,1.74781,1.05443,0.65285,0.8616,0.83771,0.67984,0.73916,1.09597,0.87974,0.0009604,0.0009604,0.0009604
6,184.927,1.06141,1.55141,1.03157,0.91797,0.82855,0.91253,0.74283,0.75545,0.91355,0.87096,0.0009505,0.0009505,0.0009505
7,214.988,1.05739,1.4496,1.02831,0.94394,0.86866,0.89907,0.73979,0.71854,0.85979,0.86146,0.0009406,0.0009406,0.0009406
8,245.004,1.0227,1.3935,1.0168,0.89415,0.86701,0.91202,0.7343,0.74235,0.84758,0.86187,0.0009307,0.0009307,0.0009307
9,274.991,1.02274,1.31297,1.02561,0.9434,0.87396,0.91749,0.75079,0.70652,0.7789,0.85909,0.0009208,0.0009208,0.0009208
10,305.006,1.00746,1.26411,1.01558,0.9474,0.81999,0.91102,0.71004,0.75546,0.86602,0.85606,0.0009109,0.0009109,0.0009109
11,335.18,0.97964,1.22565,0.99937,0.93247,0.84285,0.92047,0.71156,0.78683,0.89173,0.87301,0.000901,0.000901,0.000901
12,365.2,0.98181,1.1866,1.00633,0.96162,0.86465,0.90568,0.6776,0.84469,0.84405,0.87479,0.0008911,0.0008911,0.0008911
13,395.215,0.96706,1.1882,1.00498,0.90721,0.85856,0.91447,0.73468,0.74563,0.79601,0.85907,0.0008812,0.0008812,0.0008812
14,425.254,0.94815,1.11326,0.98908,0.91597,0.86586,0.9089,0.70442,0.80006,0.8356,0.86356,0.0008713,0.0008713,0.0008713
15,455.251,0.94833,1.08529,0.99213,0.93458,0.85691,0.92235,0.70486,0.83933,0.83312,0.87106,0.0008614,0.0008614,0.0008614
16,485.234,0.93025,1.07049,0.98115,0.89439,0.87907,0.92261,0.68199,0.972,0.88847,0.90338,0.0008515,0.0008515,0.0008515
17,515.943,0.92892,1.06764,0.97884,0.88005,0.89986,0.9259,0.74753,0.74917,0.76364,0.85887,0.0008416,0.0008416,0.0008416
18,546.384,0.93504,1.08963,0.98166,0.95187,0.86998,0.92303,0.7125,0.83023,0.82724,0.86855,0.0008317,0.0008317,0.0008317
19,576.609,0.92359,1.04289,0.9769,0.96126,0.82547,0.92229,0.71199,0.77787,0.78031,0.85642,0.0008218,0.0008218,0.0008218
20,606.787,0.90959,1.0171,0.97332,0.96724,0.86927,0.93181,0.72995,0.8252,0.71939,0.86876,0.0008119,0.0008119,0.0008119
21,636.95,0.9104,0.98332,0.97789,0.9398,0.84589,0.911,0.71372,0.78946,0.8022,0.86492,0.000802,0.000802,0.000802
22,667.101,0.90087,0.97677,0.97191,0.93148,0.88199,0.90184,0.63246,1.05501,0.83925,0.91827,0.0007921,0.0007921,0.0007921
23,697.387,0.90602,0.96151,0.97435,0.92957,0.87609,0.9213,0.73511,0.71648,0.70557,0.84754,0.0007822,0.0007822,0.0007822
24,727.441,0.89378,0.94561,0.97295,0.87565,0.8684,0.9117,0.69344,0.92877,0.93726,0.90224,0.0007723,0.0007723,0.0007723
25,757.443,0.88257,0.95164,0.96628,0.94339,0.86593,0.92415,0.68823,0.90511,0.74523,0.88199,0.0007624,0.0007624,0.0007624
26,787.458,0.88466,0.90675,0.96549,0.92138,0.86467,0.92037,0.7174,0.85242,0.76802,0.87124,0.0007525,0.0007525,0.0007525
27,817.343,0.87651,0.92179,0.96174,0.92889,0.88393,0.92111,0.68318,0.96503,0.81303,0.89862,0.0007426,0.0007426,0.0007426
28,847.344,0.87641,0.90502,0.96446,0.95632,0.83631,0.91592,0.73521,0.72877,0.75422,0.85536,0.0007327,0.0007327,0.0007327
29,877.339,0.86186,0.88747,0.95804,0.97311,0.8667,0.92646,0.73346,0.79272,0.72074,0.86908,0.0007228,0.0007228,0.0007228
30,907.305,0.86029,0.88031,0.95975,0.94359,0.87562,0.91707,0.66326,0.97305,0.83584,0.90613,0.0007129,0.0007129,0.0007129
31,937.241,0.87002,0.89819,0.96151,0.94626,0.88432,0.93024,0.71586,0.84708,0.79188,0.88186,0.000703,0.000703,0.000703
32,967.216,0.85788,0.87972,0.95571,0.98447,0.89011,0.93234,0.74124,0.75583,0.69907,0.86099,0.0006931,0.0006931,0.0006931
33,997.2,0.85286,0.85585,0.95564,0.93244,0.91009,0.93334,0.73554,0.77459,0.74091,0.87341,0.0006832,0.0006832,0.0006832
34,1027.19,0.85042,0.8484,0.95706,0.88298,0.91459,0.9401,0.72539,0.85872,0.73474,0.88119,0.0006733,0.0006733,0.0006733
35,1057.18,0.86872,0.85142,0.95942,0.90466,0.9043,0.93477,0.74405,0.76701,0.71249,0.86889,0.0006634,0.0006634,0.0006634
36,1087.21,0.85495,0.83887,0.95867,0.89425,0.90725,0.92977,0.70258,0.89565,0.75291,0.88794,0.0006535,0.0006535,0.0006535
37,1117.2,0.84764,0.83651,0.95344,0.89443,0.84458,0.92272,0.67665,0.93047,0.79041,0.88416,0.0006436,0.0006436,0.0006436
38,1147.19,0.83845,0.8226,0.94953,0.93536,0.81327,0.91906,0.666,1.01404,0.82311,0.9153,0.0006337,0.0006337,0.0006337
39,1177.26,0.83593,0.82675,0.94819,0.87211,0.89291,0.93052,0.69952,0.90671,0.7562,0.89035,0.0006238,0.0006238,0.0006238
40,1207.29,0.82625,0.81553,0.94762,0.92061,0.88098,0.92078,0.71454,0.79542,0.70912,0.86634,0.0006139,0.0006139,0.0006139
41,1237.28,0.83459,0.79865,0.95181,0.92282,0.90173,0.93449,0.72958,0.82677,0.70881,0.87419,0.000604,0.000604,0.000604
42,1267.27,0.83309,0.79833,0.94495,0.92209,0.88118,0.92239,0.69471,0.89171,0.75603,0.88781,0.0005941,0.0005941,0.0005941
43,1297.23,0.83376,0.78963,0.95211,0.92866,0.90331,0.93742,0.71125,0.91738,0.71857,0.89653,0.0005842,0.0005842,0.0005842
44,1327.28,0.82385,0.78427,0.94656,0.9335,0.84787,0.93208,0.70631,0.92558,0.72065,0.90551,0.0005743,0.0005743,0.0005743
45,1357.17,0.83072,0.77919,0.94795,0.93842,0.87267,0.9313,0.72133,0.83981,0.64914,0.88066,0.0005644,0.0005644,0.0005644
46,1387.17,0.81398,0.77065,0.94106,0.94481,0.85626,0.92524,0.69962,0.90605,0.73365,0.89706,0.0005545,0.0005545,0.0005545
47,1417.23,0.82262,0.77093,0.9476,0.93613,0.88405,0.93723,0.72472,0.87306,0.68853,0.88218,0.0005446,0.0005446,0.0005446
48,1447.25,0.80884,0.7531,0.93314,0.9255,0.88381,0.93565,0.72909,0.84889,0.70665,0.88635,0.0005347,0.0005347,0.0005347
49,1477.18,0.80185,0.76861,0.94309,0.92093,0.89021,0.9357,0.72872,0.85124,0.69555,0.88381,0.0005248,0.0005248,0.0005248
50,1507.21,0.80955,0.7542,0.94132,0.88151,0.87732,0.9335,0.74483,0.80779,0.68455,0.88098,0.0005149,0.0005149,0.0005149
51,1537.32,0.80238,0.75386,0.94673,0.95461,0.84997,0.93206,0.70419,0.89883,0.68846,0.8881,0.000505,0.000505,0.000505
52,1567.45,0.80191,0.74971,0.9413,0.9551,0.88373,0.93886,0.7473,0.78149,0.67436,0.86461,0.0004951,0.0004951,0.0004951
53,1597.64,0.79659,0.73291,0.93994,0.92089,0.88256,0.93224,0.72828,0.89499,0.73204,0.88002,0.0004852,0.0004852,0.0004852
54,1627.91,0.80905,0.74362,0.93932,0.93077,0.87195,0.93132,0.74512,0.80733,0.69009,0.87042,0.0004753,0.0004753,0.0004753
55,1657.89,0.79023,0.73277,0.93587,0.90153,0.88101,0.92877,0.73424,0.81588,0.68053,0.87069,0.0004654,0.0004654,0.0004654
56,1687.87,0.77455,0.72071,0.93249,0.87851,0.8914,0.92746,0.7066,0.91553,0.76751,0.88473,0.0004555,0.0004555,0.0004555
57,1717.86,0.79079,0.72777,0.9379,0.88059,0.89949,0.92563,0.7538,0.73266,0.67738,0.85898,0.0004456,0.0004456,0.0004456
