epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.117,1.2975,3.48996,1.20754,0.5693,0.69447,0.64175,0.50128,0.85727,1.5516,0.93042,0.0670619,0.000332708,0.000332708
2,222.696,1.11124,1.53622,1.11246,0.89797,0.83684,0.91455,0.71739,0.88615,0.77401,0.92836,0.0340597,0.000663843,0.000663843
3,332.759,1.01865,0.96757,1.06114,0.87238,0.85261,0.92938,0.74487,0.80131,0.6063,0.90561,0.00105532,0.000992779,0.000992779
4,442.902,0.96606,0.79244,1.03052,0.88176,0.86839,0.91132,0.76944,0.68242,0.60072,0.88268,0.0009901,0.0009901,0.0009901
5,547.915,0.92578,0.69825,1.01415,0.87087,0.93163,0.93726,0.81618,0.63813,0.48925,0.88002,0.0009868,0.0009868,0.0009868
6,657.829,0.88762,0.64619,0.99256,0.84028,0.93952,0.91881,0.73278,0.75303,0.53259,0.89495,0.0009835,0.0009835,0.0009835
7,766.2,0.86503,0.60936,0.9779,0.87528,0.88661,0.93317,0.81323,0.59763,0.52598,0.85123,0.0009802,0.0009802,0.0009802
8,878.422,0.86289,0.58847,0.98475,0.88151,0.92515,0.92979,0.78224,0.68268,0.48352,0.87574,0.0009769,0.0009769,0.0009769
9,990.323,0.84982,0.57618,0.97352,0.90045,0.84082,0.91464,0.79496,0.61175,0.51959,0.8557,0.0009736,0.0009736,0.0009736
10,1104.01,0.83214,0.55585,0.96198,0.87583,0.91926,0.93539,0.81838,0.58996,0.44587,0.85527,0.0009703,0.0009703,0.0009703
11,1211.2,0.81015,0.54156,0.95918,0.89323,0.8935,0.93208,0.80656,0.61035,0.50497,0.8628,0.000967,0.000967,0.000967
12,1315.36,0.80402,0.527,0.95724,0.88491,0.8806,0.92032,0.77282,0.7009,0.53275,0.89056,0.0009637,0.0009637,0.0009637
13,1421.47,0.78875,0.5274,0.95385,0.85962,0.85721,0.88248,0.76576,0.5611,0.53833,0.84296,0.0009604,0.0009604,0.0009604
14,1527.65,0.79412,0.52015,0.94986,0.88129,0.88432,0.90537,0.77832,0.65789,0.57564,0.86295,0.0009571,0.0009571,0.0009571
15,1633.15,0.7735,0.50457,0.94712,0.84603,0.90781,0.89596,0.75181,0.68043,0.52299,0.86314,0.0009538,0.0009538,0.0009538
16,1738.98,0.77752,0.49704,0.94548,0.88579,0.83658,0.91099,0.79492,0.63193,0.52394,0.85666,0.0009505,0.0009505,0.0009505
17,1847.01,0.7528,0.48585,0.93435,0.86725,0.89725,0.91146,0.79593,0.56985,0.52679,0.84104,0.0009472,0.0009472,0.0009472
18,1950.07,0.73906,0.47827,0.93391,0.81829,0.92823,0.91112,0.77617,0.63725,0.53789,0.86048,0.0009439,0.0009439,0.0009439
19,2052.12,0.73711,0.47377,0.93417,0.86402,0.92122,0.93091,0.82088,0.55727,0.47345,0.83921,0.0009406,0.0009406,0.0009406
20,2156.25,0.72768,0.46386,0.93342,0.85237,0.88105,0.91013,0.74675,0.76072,0.65588,0.8956,0.0009373,0.0009373,0.0009373
21,2263.34,0.73134,0.46871,0.93338,0.85515,0.88407,0.92307,0.77708,0.68158,0.5356,0.85667,0.000934,0.000934,0.000934
22,2372.67,0.71243,0.45592,0.92425,0.83179,0.8855,0.91521,0.78875,0.62542,0.51421,0.8571,0.0009307,0.0009307,0.0009307
23,2483.17,0.71559,0.45897,0.92999,0.84444,0.88548,0.91103,0.78145,0.6293,0.51778,0.84911,0.0009274,0.0009274,0.0009274
24,2593.35,0.70116,0.44209,0.92284,0.84088,0.88568,0.90927,0.7796,0.61745,0.52249,0.84682,0.0009241,0.0009241,0.0009241
25,2700.21,0.69976,0.44404,0.91693,0.85738,0.92607,0.90666,0.78678,0.59723,0.51731,0.84774,0.0009208,0.0009208,0.0009208
26,2812.96,0.69269,0.44455,0.92608,0.83073,0.94616,0.90893,0.79329,0.58145,0.49857,0.84092,0.0009175,0.0009175,0.0009175
27,2916.03,0.68479,0.4416,0.92042,0.83346,0.87046,0.87487,0.77132,0.56627,0.60541,0.84127,0.0009142,0.0009142,0.0009142
28,3021.49,0.69096,0.43808,0.92488,0.87708,0.84516,0.904,0.80776,0.56176,0.5154,0.84034,0.0009109,0.0009109,0.0009109
29,3122.77,0.67664,0.42311,0.91208,0.84928,0.90112,0.92981,0.79702,0.63406,0.52718,0.84661,0.0009076,0.0009076,0.0009076
30,3224.6,0.67293,0.41755,0.91101,0.86323,0.86303,0.92156,0.8163,0.53892,0.51584,0.83344,0.0009043,0.0009043,0.0009043
31,3326.27,0.66221,0.40912,0.90558,0.86991,0.86131,0.91173,0.77467,0.6556,0.56306,0.85658,0.000901,0.000901,0.000901
32,3427.91,0.66332,0.41701,0.91269,0.89793,0.82905,0.90206,0.78969,0.56354,0.53012,0.83989,0.0008977,0.0008977,0.0008977
33,3529.48,0.66001,0.40315,0.91282,0.86634,0.87708,0.9054,0.78286,0.56683,0.50622,0.8339,0.0008944,0.0008944,0.0008944
34,3631.8,0.64959,0.4017,0.90122,0.86285,0.87948,0.91132,0.80487,0.54696,0.56871,0.83508,0.0008911,0.0008911,0.0008911
35,3734.16,0.65123,0.40343,0.90818,0.85047,0.85159,0.9085,0.80031,0.58381,0.55057,0.8404,0.0008878,0.0008878,0.0008878
36,3835.93,0.63555,0.39677,0.89928,0.83653,0.86038,0.88276,0.77304,0.55206,0.6417,0.82881,0.0008845,0.0008845,0.0008845
37,3938.61,0.64215,0.39683,0.89964,0.8653,0.87738,0.90449,0.77344,0.63414,0.54617,0.8512,0.0008812,0.0008812,0.0008812
38,4047.62,0.63541,0.3906,0.9026,0.88451,0.86195,0.8983,0.79349,0.57439,0.50869,0.83948,0.0008779,0.0008779,0.0008779
39,4153.35,0.62361,0.38508,0.8927,0.79081,0.92867,0.9176,0.79902,0.58721,0.537,0.84471,0.0008746,0.0008746,0.0008746
40,4254.94,0.62658,0.38163,0.89799,0.86131,0.87468,0.90386,0.81093,0.53237,0.53279,0.83,0.0008713,0.0008713,0.0008713
41,4358.5,0.62319,0.38669,0.89213,0.83236,0.92589,0.90927,0.7969,0.58606,0.47863,0.8464,0.000868,0.000868,0.000868
42,4466.22,0.6168,0.3765,0.88853,0.84003,0.8952,0.90733,0.79575,0.57389,0.50511,0.83942,0.0008647,0.0008647,0.0008647
43,4571.49,0.61377,0.37476,0.888,0.87527,0.85528,0.88979,0.78355,0.56385,0.5447,0.84034,0.0008614,0.0008614,0.0008614
