epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9236,0.65574,4.48251,0.98501,0.27527,0.17551,0.18217,0.16409,0.51385,3.10393,0.84195,0.067125,0.000332071,0.000332071
2,116.329,0.54785,2.91938,0.93296,0.53181,0.45621,0.55825,0.50413,0.4408,1.76353,0.82127,0.0341217,0.00066211,0.00066211
3,176.195,0.51086,1.87218,0.9095,0.82553,0.68746,0.82456,0.74304,0.43039,0.97208,0.81704,0.00111511,0.00098885,0.00098885
4,231.508,0.48778,1.24965,0.90302,0.82065,0.87389,0.93399,0.83524,0.44197,0.69554,0.8226,0.00098515,0.00098515,0.00098515
5,285.751,0.45886,0.89438,0.87739,0.91701,0.94557,0.98011,0.86542,0.44335,0.52287,0.81546,0.0009802,0.0009802,0.0009802
6,339.033,0.4468,0.73842,0.86372,0.94353,0.9152,0.96886,0.85745,0.46279,0.48648,0.81223,0.00097525,0.00097525,0.00097525
7,394.008,0.4487,0.62814,0.86088,0.92761,0.95837,0.97574,0.87048,0.45144,0.43806,0.80665,0.0009703,0.0009703,0.0009703
8,447.874,0.43622,0.59857,0.85701,0.93932,0.95075,0.97805,0.88688,0.42218,0.40932,0.80471,0.00096535,0.00096535,0.00096535
9,500.983,0.42323,0.55087,0.85823,0.94231,0.94314,0.97924,0.87377,0.44443,0.39448,0.81091,0.0009604,0.0009604,0.0009604
10,554.196,0.42727,0.50874,0.8533,0.94862,0.95304,0.98033,0.87819,0.45205,0.3933,0.81123,0.00095545,0.00095545,0.00095545
11,609.133,0.42039,0.46948,0.84846,0.93981,0.96315,0.98638,0.88113,0.4372,0.38783,0.81022,0.0009505,0.0009505,0.0009505
12,664.616,0.4134,0.45874,0.84796,0.94822,0.96217,0.98619,0.88607,0.44287,0.37736,0.81087,0.00094555,0.00094555,0.00094555
13,716.255,0.42994,0.46745,0.851,0.93892,0.96339,0.97478,0.88637,0.44132,0.37292,0.80304,0.0009406,0.0009406,0.0009406
14,768.588,0.4199,0.43323,0.852,0.96,0.96797,0.99021,0.88863,0.43517,0.34331,0.81113,0.00093565,0.00093565,0.00093565
